timestamp,open,high,low,close,volume,hour,day_of_week,month,session_id
2025-10-02 20:00:00+00:00,3856.811,3858.482,3852.146,3857.108,4738.0,22,3,10,0
2025-10-02 21:00:00+00:00,3857.071,3863.763,3856.803,3862.41,5204.0,23,3,10,0
2025-10-02 22:00:00+00:00,3862.365,3862.779,3856.384,3856.912,8592.0,0,4,10,0
2025-10-02 23:00:00+00:00,3856.878,3862.622,3847.333,3858.458,14659.0,1,4,10,0
2025-10-03 00:00:00+00:00,3858.424,3859.093,3847.62,3848.159,8638.0,2,4,10,0
2025-10-03 01:00:00+00:00,3848.129,3851.001,3837.995,3842.757,13233.0,3,4,10,0
2025-10-03 02:00:00+00:00,3842.711,3848.294,3841.597,3843.951,7807.0,4,4,10,0
2025-10-03 03:00:00+00:00,3843.97,3859.238,3843.836,3855.053,10903.0,5,4,10,0
2025-10-03 04:00:00+00:00,3855.046,3860.983,3850.842,3859.182,10340.0,6,4,10,0
2025-10-03 05:00:00+00:00,3859.168,3865.28,3856.972,3864.286,8555.0,7,4,10,0
2025-10-03 06:00:00+00:00,3864.196,3865.705,3860.168,3864.797,7420.0,8,4,10,0
2025-10-03 07:00:00+00:00,3864.741,3864.946,3856.866,3864.218,7104.0,9,4,10,0
2025-10-03 08:00:00+00:00,3864.221,3867.688,3862.092,3865.886,8892.0,10,4,10,1
2025-10-03 09:00:00+00:00,3865.866,3867.075,3854.689,3862.077,12567.0,11,4,10,1
2025-10-03 10:00:00+00:00,3862.141,3874.927,3860.448,3873.79,13819.0,12,4,10,1
2025-10-03 11:00:00+00:00,3873.897,3890.651,3870.036,3882.558,27061.0,13,4,10,2
2025-10-03 12:00:00+00:00,3882.607,3885.931,3866.235,3879.616,35997.0,14,4,10,2
2025-10-03 13:00:00+00:00,3879.585,3891.638,3873.906,3889.44,19649.0,15,4,10,3
2025-10-03 14:00:00+00:00,3889.402,3889.785,3880.48,3883.629,13154.0,16,4,10,3
2025-10-03 15:00:00+00:00,3883.676,3886.016,3876.909,3881.97,13787.0,17,4,10,0
2025-10-03 16:00:00+00:00,3882.021,3889.19,3879.92,3886.04,11115.0,18,4,10,0
2025-10-03 17:00:00+00:00,3886.051,3889.133,3883.581,3885.568,9115.0,19,4,10,0
2025-10-03 18:00:00+00:00,3885.537,3887.228,3882.845,3887.045,4690.0,20,4,10,0
